"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2258","User login with correct email and password","LMS system","Sat May 02 14:46:42 UTC 2026","passed","Sat May 02 14:46:44 UTC 2026","Authorization","Authentication","",""
"","0","Create course","LMS system","Sat May 02 14:46:46 UTC 2026","broken","Sat May 02 14:46:46 UTC 2026","Courses","Courses","",""
"","0","Check displaying of dashboard page","LMS system","Sat May 02 14:46:46 UTC 2026","broken","Sat May 02 14:46:46 UTC 2026","Dashboard","Dashboard","",""
"","1581","Attempt to login with email:   ","LMS system","Sat May 02 14:46:40 UTC 2026","passed","Sat May 02 14:46:42 UTC 2026","Authorization","Authentication","",""
"","1341","Navigation from login page to registration page","LMS system","Sat May 02 14:46:45 UTC 2026","passed","Sat May 02 14:46:46 UTC 2026","Authorization","Authentication","",""
"","1615","Registration with correct email, username and password","LMS system","Sat May 02 14:46:44 UTC 2026","passed","Sat May 02 14:46:46 UTC 2026","Registration","Authentication","",""
"","1748","Attempt to login with email: user.name@gmail.com","LMS system","Sat May 02 14:46:40 UTC 2026","passed","Sat May 02 14:46:42 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Sat May 02 14:46:46 UTC 2026","broken","Sat May 02 14:46:46 UTC 2026","Courses","Courses","",""
"","0","Edit course","LMS system","Sat May 02 14:46:46 UTC 2026","broken","Sat May 02 14:46:46 UTC 2026","Courses","Courses","",""
"","1463","Attempt to login with email: user.name@gmail.com","LMS system","Sat May 02 14:46:42 UTC 2026","passed","Sat May 02 14:46:44 UTC 2026","Authorization","Authentication","",""
