"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1374","Attempt to login with email: user.name@gmail.com","LMS system","Sat May 02 15:26:24 UTC 2026","passed","Sat May 02 15:26:26 UTC 2026","Authorization","Authentication","",""
"","1696","Registration with correct email, username and password","LMS system","Sat May 02 15:26:27 UTC 2026","passed","Sat May 02 15:26:29 UTC 2026","Registration","Authentication","",""
"","1902","Check displaying of dashboard page","LMS system","Sat May 02 15:26:32 UTC 2026","passed","Sat May 02 15:26:34 UTC 2026","Dashboard","Dashboard","",""
"","1794","Attempt to login with email:   ","LMS system","Sat May 02 15:26:22 UTC 2026","passed","Sat May 02 15:26:24 UTC 2026","Authorization","Authentication","",""
"","2210","User login with correct email and password","LMS system","Sat May 02 15:26:25 UTC 2026","passed","Sat May 02 15:26:27 UTC 2026","Authorization","Authentication","",""
"","3438","Edit course","LMS system","Sat May 02 15:26:34 UTC 2026","passed","Sat May 02 15:26:38 UTC 2026","Courses","Courses","",""
"","1416","Check displaying of empty courses list","LMS system","Sat May 02 15:26:30 UTC 2026","passed","Sat May 02 15:26:31 UTC 2026","Courses","Courses","",""
"","1542","Navigation from login page to registration page","LMS system","Sat May 02 15:26:26 UTC 2026","passed","Sat May 02 15:26:28 UTC 2026","Authorization","Authentication","",""
"","3408","Create course","LMS system","Sat May 02 15:26:29 UTC 2026","passed","Sat May 02 15:26:32 UTC 2026","Courses","Courses","",""
"","1710","Attempt to login with email: user.name@gmail.com","LMS system","Sat May 02 15:26:22 UTC 2026","passed","Sat May 02 15:26:24 UTC 2026","Authorization","Authentication","",""
